a0,chi2_median,chi2_mean
4.9999999999999995e-11,0.5318628751182506,47.79225606560795
5.981155994256582e-11,0.5318628751182506,47.79225606560795
7.154845405526289e-11,0.5318628751182506,47.79225606560795
8.558849297048511e-11,0.5318628751182506,47.79225606560795
1.0238362555396088e-10,0.5318628751182506,47.79225606560795
1.2247448713915892e-10,0.5318628751182506,47.79225606560795
1.4650780257917623e-10,0.5318628751182506,47.79225606560795
1.7525720432035998e-10,0.5318628751182506,47.79225606560795
2.096481356314735e-10,0.5318628751182506,47.79225606560795
2.5078764062338094e-10,0.5318628751182506,47.79225606560795
3.000000000000001e-10,0.5318628751182506,47.79225606560795
